,station_id,time_of_day,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,time_interval,bike_uptime,dock_uptime,day_of_week,last_updated_hour,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
2971,3602,Peak Weekends,0.0,720,688,688,1106678974975,3170,96,12689,1,34,7200,0.8236111111111111,0.9722222222222222,3957,10453,,2.0,20.0,,3602.0,,2018-10-25 01:15:13 PM,40.763154,,-73.920827,,31 Ave & 34 St,,31 Ave & 34 St,1.0,In Service,False,23.0
2972,3603,Other,0.0,2980,2980,2980,4580403534857,10644,1491,49173,0,65,29800,0.7899328859060403,1.0,8481,31900,,0.0,21.0,,3603.0,,2018-10-25 01:17:06 PM,40.7647,,-73.9240312,,31 Ave & 30 St,,31 Ave & 30 St,1.0,In Service,False,21.0
2973,3603,Peak Weekday Evenings,0.0,240,240,240,368897072214,227,120,4621,0,2,2400,0.4708333333333333,1.0,480,4200,,0.0,21.0,,3603.0,,2018-10-25 01:17:06 PM,40.7647,,-73.9240312,,31 Ave & 30 St,,31 Ave & 30 St,1.0,In Service,False,21.0
2974,3603,Peak Weekday Mornings,0.0,359,359,359,551795792296,1518,202,5789,0,34,3590,0.9220055710306406,1.0,720,2872,,0.0,21.0,,3603.0,,2018-10-25 01:17:06 PM,40.7647,,-73.9240312,,31 Ave & 30 St,,31 Ave & 30 St,1.0,In Service,False,21.0
2975,3603,Peak Weekends,0.0,720,720,720,1106678524141,2551,203,11520,0,0,7200,0.7416666666666667,1.0,3957,10453,,0.0,21.0,,3603.0,,2018-10-25 01:17:06 PM,40.7647,,-73.9240312,,31 Ave & 30 St,,31 Ave & 30 St,1.0,In Service,False,21.0
2976,3604,Other,0.0,2980,2980,2980,4580403599375,36723,1864,12073,0,267,29800,0.995973154362416,0.7593959731543625,8481,31900,,12.0,5.0,,3604.0,,2018-10-25 01:15:08 PM,40.6630619,,-73.9538746,,Rogers Ave & Sterling St,,Rogers Ave & Sterling St,1.0,In Service,False,17.0
2977,3604,Peak Weekday Evenings,0.0,240,240,240,368897598779,2576,115,1389,0,6,2400,1.0,0.9583333333333334,480,4200,,12.0,5.0,,3604.0,,2018-10-25 01:15:08 PM,40.6630619,,-73.9538746,,Rogers Ave & Sterling St,,Rogers Ave & Sterling St,1.0,In Service,False,17.0
2978,3604,Peak Weekday Mornings,0.0,359,359,359,551795503281,4918,239,946,0,54,3590,1.0,0.5431754874651811,720,2872,,12.0,5.0,,3604.0,,2018-10-25 01:15:08 PM,40.6630619,,-73.9538746,,Rogers Ave & Sterling St,,Rogers Ave & Sterling St,1.0,In Service,False,17.0
2979,3604,Peak Weekends,0.0,720,720,720,1106678578571,9381,274,2585,0,74,7200,1.0,0.8847222222222222,3957,10453,,12.0,5.0,,3604.0,,2018-10-25 01:15:08 PM,40.6630619,,-73.9538746,,Rogers Ave & Sterling St,,Rogers Ave & Sterling St,1.0,In Service,False,17.0
2980,3605,Other,0.0,2980,2980,2980,4580403171029,14364,1517,46698,1,16,29800,0.8395973154362416,1.0,8481,31900,,0.0,20.0,,3605.0,,2018-10-25 01:17:08 PM,40.7658346,,-73.9265474,,31 Ave & Crescent St,,31 Ave & Crescent St,1.0,In Service,False,21.0
2981,3605,Peak Weekday Evenings,0.0,240,240,240,368897143303,200,108,4732,0,0,2400,0.5083333333333333,1.0,480,4200,,0.0,20.0,,3605.0,,2018-10-25 01:17:08 PM,40.7658346,,-73.9265474,,31 Ave & Crescent St,,31 Ave & Crescent St,1.0,In Service,False,21.0
2982,3605,Peak Weekday Mornings,0.0,359,359,359,551795879835,3440,117,3982,0,0,3590,1.0,1.0,720,2872,,0.0,20.0,,3605.0,,2018-10-25 01:17:08 PM,40.7658346,,-73.9265474,,31 Ave & Crescent St,,31 Ave & Crescent St,1.0,In Service,False,21.0
